书名,抄本批次,卷次,段落编号,原文内容,校勘标记
论语集注,宋刊本,1,1,子曰学而时习之不亦说乎,异文：习-时
论语集注,宋刊本,1,2,有朋自远方来不亦乐乎,；疑文
论语集注,宋刊本,1,3,人不知而不愠不亦君子乎,脱文
论语集注,宋刊本,1,4,有子曰其为人也孝悌而好犯上者鲜矣,异文：弟-悌
论语集注,宋刊本,1,5,不好犯上而好作乱者未之有也,
论语集注,宋刊本,1,6,君子务本本立而道生,异文：本-立
论语集注,宋刊本,1,7,孝悌也者其为仁之本与,异文：弟-悌；仁-人
论语集注,宋刊本,2,1,子曰巧言令色鲜矣仁,
论语集注,宋刊本,2,2,曾子曰吾日三省吾身,衍文：吾-三
论语集注,宋刊本,2,3,为人谋而不忠乎,
论语集注,宋刊本,2,4,与朋友交而不信乎,
论语集注,宋刊本,2,5,传不习乎,异文：传-专
论语集注,元抄本,1,1,子曰学而时习之不亦说乎,
论语集注,元抄本,1,2,有朋自远方来不亦乐乎,
论语集注,元抄本,1,3,人不知而不愠不亦君子乎,
论语集注,元抄本,1,5,不好犯上而好作乱者未之有也,
论语集注,元抄本,1,6,君子务本立本而道生,异文：本-立
论语集注,元抄本,1,7,孝弟也者其为人之本与,异文：悌-弟
论语集注,元抄本,2,1,子曰巧言令色鲜矣仁,
论语集注,元抄本,2,2,曾子曰吾日三省吾身,
论语集注,元抄本,2,3,为人谋而不忠乎与,
论语集注,元抄本,2,4,与朋友交而不信乎,
论语集注,元抄本,2,5,传不习乎,
论语集注,明抄本,1,1,子曰学而时习之不亦说乎,
论语集注,明抄本,1,2,有朋自远方来不亦乐乎,
论语集注,明抄本,1,3,人不知而不愠不亦君子乎,
论语集注,明抄本,1,4,有子曰其为人也孝弟而好犯上者鲜矣,异文：悌-弟
论语集注,明抄本,1,5,不好犯上而好作乱者未之有也,
论语集注,明抄本,1,6,君子务本本立而道生,
论语集注,明抄本,1,7,孝悌也者其为仁之本与,
论语集注,明抄本,2,1,子曰巧言令色鲜矣仁也,衍文：也
论语集注,明抄本,2,2,曾子曰吾日三省吾身,
论语集注,明抄本,2,3,为人谋而不忠乎,
论语集注,明抄本,2,4,与朋友交而不信乎传不,
论语集注,明抄本,2,5,传不习乎,
论语集注,宋刊本,1,4,重复段-这行会失败,
论语集注,宋刊本,1,-1,编号非正整数,
,明抄本,1,8,书名为空会失败,
孟子集注,明抄本,1,1,不同书名会被排除,
论语集注,清抄本,1,abc,段落非数字,
